Category,Caetgory Description,Name,ImageURL,Date of Appointment,La,Lo,Workplace,Notes,Degree
Non-profit Arts Administration,,Louise Tharaud Brasher,,,33.521755,-86.810297,Birmingham Museum of Art,Assistant Curator of Education/Coordinator for Disabilities,"MA, 1981"
Education,,Dr. Emily Braun,,,40.768,-73.964317,Hunter College CUNY,"Professor, Art History Department","PhD, 1991"
Non-profit Arts Administration,,Ms. Catherine Coleman Brawer,,,40.770082,-73.960891,Ida & William Rosenthal Foundation,President,"MA, 1966"
Curatorial,,Katherine Mary Brinson,,,40.78298,-73.958971,Solomon R. Guggenheim Museum,"Curator, Contemporary Art","MA, 2005"
Non-profit Arts Administration,,Marcia E. Brocklebank,,,38.81925,-77.047467,Art Services International,U.K. Representative,"MA, 1963"
Education,,Joyce G. Brodsky,,,36.991386,-122.060872,"University of California, Santa Cruz","Prof, Department of Art","MA, 1958"
Curatorial,,"Lisa R. Brody, PhD",,,41.308724,-72.930716,Yale University Art Gallery,Associate Curator of Ancient Art,"PhD, 1999"
Education,,"Sarah Tyler Brooks, PhD",,,38.435092,-78.869755,James Madison University,"Assistant Professor, School of Art and Art History","PhD, 2002"
Conservation,,Lynn B. Brostoff,,,38.888684,-77.004719,Library of Congress,"Research Chemist, Preservation Research and Testing Division","Certificate in Conservation, 1987"
For-profit Arts Professional,,Michelle Ilana Brown,,,40.756856,-73.972292,Sotheby's,,"MA, 2012"
Conservation,,Karl D. Buchberg,,,40.761433,-73.977622,Museum of Modern Art,Senior Conservator,"Certificate in Conservation, 1984"
For-profit Arts Professional,,"Robert T. Buck, Jr.",,,40.763696,-73.976461,Marlborough Gallery,Director,"MA, 1965"
Curatorial,,"Rosina Buckland, PhD",,,55.946971,-3.190862,National Museum of Scotland,"Senior Curator, East and Central Asia","PhD, 2008"
Conservation,,Friederike C. Buehler-Steckling,,,47.588102,7.651016,Fondation Beyeler,Conservator,"Certificate in Conservation, 1998"
Curatorial,,Emma Cadwalader Bunker,,,39.737188,-104.989345,Denver Art Museum,Research Consultant,"MA, 1962"
