Category,Caetgory Description,Name,ImageURL,Date of Appointment,La,Lo,Workplace,Notes,Degree
Education,,"Dale B. Kinney, PhD",,,40.026658,-75.31439,Bryn Mawr College,Professor of History of Art,"PhD, 1975"
Conservation,,Ms. Lucie L. Kinsolving,,,40.783533,-73.958678,National Academy Museum and School,Paintings Conservator,"Certificate in Conservation, 1989"
Education,,"Laura Klar Phillips, PhD",,,41.740897,-74.082091,SUNY New Paltz, ,"PhD, 2006"
Curatorial,,Mr. Norman L. Kleeblatt,,,40.78546,-73.957198,The Jewish Museum,Susan & Elihu Rose Chief Curator,"MA, 1975"
Education,,"Lynda Klich, PhD",,,40.768,-73.964317,Hunter College CUNY,Assistant Professor,"PhD, 2008"
For-profit Arts Professional,,Mr. Robert D. Knafo,,,,,NewArtTV,Executive Producer,"MA, 1982"
Non-profit Arts Administration,,Ms. Heather Lauren Knapp,,,,,American Museum of Natural History, Senior Associate Registrar,"MA, 2009"
Conservation,,Ms. Evelyn Monroe Koehnline,,,35.912627,-79.055063,Ackland Art Museum,Conservator,"Certificate in Conservation, 1984"
Curatorial,,Dr. Linda Komaroff,,,34.063932,-118.359229,Los Angeles County Museum of Art,Cuator of Islamic Art,"MA, 1977"
Education,,"Yee Wan Koon, PhD",,,22.282999,114.137085,University of Hong Kong,"Associate Professor, Chinese Art and Architecture; Japanese Art and Architecture","PhD, 2006"
Education,,Ms. Abby M. Kornfeld,,,40.807536,-73.962573,City College of New York,Assistant Professor of Art History ,"PhD, 2013"
Non-profit Arts Administration,,Vasif Kortun,,,41.023969,28.973286,SALT Galata,"Director, Research and Programs at SALT","MA, 1985"
Education,,Mr. Victor Koshkin-Youritzin,,,35.205894,-97.445714,University of Oklahoma,David Ross Boyd Professor of Art History,"MS, 1967"
Museum Director,,"Dorothy Kosinski, PhD",,,38.911339,-77.046719,The Phillips Collection,Director,"PhD, 1985"
Education,,Dr. Desiree G. Koslin,,,40.746901,-73.994081,Fashion Institute of Technology,Professor,"PhD, 1999"
Education,,Dr. Susan J. Koslow,,,,,"CUNY, Graduate Center & Brooklyn College",Professor Emerita,"MA, 1965"
Education,,"Rachel M Kousser, PhD",,,40.630995,-73.954412,Brooklyn College,Assistant Professor,"PhD, 2001"
Non-profit Arts Administration,,Miss Deborah E. Kraak,,,,,"Historic Textiles, Costumes and Interiors",Independent Museum Professional,"MA, 1981"
Non-profit Arts Administration,,"Linda Konheim Kramer, PhD",,,40.752111,-73.999787,Nancy Graves Foundation,Executive Director,"PhD, 2000"
Conservation,,Mr. John Krill,,,39.808864,-75.603687," Winterthur Museum, Garden & Library",Senior Conservator of Works of Art on Paper,"Certificate in Conservation, 1970"
Education,,Professor Carol Herselle Krinsky,,,40.729513,-73.996461,New York University,Professor of Art History,"PhD, 1965"
For-profit Arts Professional,,Mr. Andrew J. Kronenberg,,,40.770404,-73.956618,Andrew Kronenberg Fine Art LLC, ,"MA, 1996"
Education,,"Margaret A. Kuntz, PhD",,,40.760895,-74.428511,Drew University,Professor of Art History,"PhD, 1997"
Education,,"Karen Lynne Kurczynski, PhD",,,42.391157,-72.526712,"University of Massachusetts, Amherst",Assistant Professor of Art History,"PhD, 2005"
Curatorial,,Ms. Lisa B. Kurzner-Bloomenkranz,,,,,Public Art Projects,Independent Curator,"MA, 1985"
Conservation,,Ms. Deborah Ann La Camera,,,42.375714,-71.084375,Studio TKM Ltd.,Conservator,"Certificate in Conservation, 2000"
Education,,Dr. Charlotte Daudon Lacaze,,,48.859323,2.303893,The American University of Paris,Professor Emerita of Art History,"PhD, 1978"
Curatorial,,"Robert Gene LaFrance, PhD",,,40.101862,-88.231737,Krannert Art Museum,Curator of Pre-Modern Art,"PhD, 2002"
Education,,Dr. Stephen Lamia,,,40.742092,-73.147827,Dowling College,Professor of Visual Arts,"MA, 1973"
Education,,Professor Emerita Sarah B. Landau,,,,, ,Professor Emerita of Art History,"PhD, 1978"
"Editors, Writers or Publishers",,Ms. Ingrid Olivia Langston,,,,,Triple Canopy,Contributor,"MA, 2011"
Non-Profit Arts Administration,,Mr. Richard S. Lanier,,,,,Trust for Mutual Understanding,Director,"MA, 1967"
,,Ms. Abigail E. Lapin,,,,,CUNY Graduate Center,PhD Student,"MA, 2013"
Education,,"Barbara J. Larson, PhD",,,30.545102,-87.216316,University of West Florida,Associate Professor of Art and Art History,"PhD, 1996"
Other Occupations,,Mr. A. Floyd Lattin,,,,,"The Praedium Group, LLC",Founder/Chief Investment Officer,"MA, 1979"
Education,,Dr. Marilyn A. Lavin,,,,,Department of Art and Archaeology,Visiting Lecturer (with rank of Professor),"XX '73, IFA (GSAS/Fine Arts)"
Non-profit Arts Administration,,Alexandra Ames Lawrence,,,50.091503,14.403815,Lobkowicz Palace,"Director, The Princely Collections","MA, 1999"
Non-profit Arts Administration,,Ms. Kathryn Elizabeth Lawson,,,40.779928,-73.960263,"Institute for the Study of the Ancient World, NYU",Assistant Director for Academic Aff,"MA, 2009"
Education,,"Karen Leader, PhD",karen_leader.png,,26.374017,-80.104346,Florida Atlantic University,Assistant Professor of Art History,"PhD, 2009"
Education,,Professor Heather N. Lechtman,,,,,Massachussetts Institute of Technology,Professor of Archaeology & Ancient Technology,"MA, Certificate in Conservation"
For-profit Arts Professional,,"Yulin Lee, PhD",,,25.039776,121.547131,Taishin Bank Foundation for Arts & Culture,Artistic Director,PhD 2012
Curatorial,,"Sarah Lees, PhD",,,42.707227,-73.21259,Sterling and Francine Clark Art Institute,Associate Curator of European Art,"PhD, 1999"
Curatorial,,"Leah Lehmbeck, PhD",,,34.063932,-118.359229,Los Angeles County Museum of Art,Curator of European Painting and Sculpture ,"PhD, 2007"
Curatorial,,"Patrick Lenaghan, PhD",,,40.833456,-73.94687,The Hispanic Society of America,"Curator, Prints and Photographs","PhD, 1993"
Non-profit Arts Administration,,Susan L'Engle,,,38.636527,-90.233121,Saint Louis University,"Assistant Director, Vatican Film Library","PhD, 2000"
For-profit Arts Professional,,Mr. Mark W. Leonard,,,,,c/o Louis Stern Fine Arts ,Working Artist,"MA, Certificate in Conservation, 1980"
Education,,"Liliana Leopardi, PhD",,,33.792458,-117.851258,Chapman University,Assistant Professor,"PhD, 2007"
Education,,Dr. Andrew K.Y. Leung,,,48.233512,16.348993,Austrian Archaeological Institute, ,"MA , 1993"
Museum Director,,Ms. Susana T.  Leval,,,,,"Former Director, El Museo del Barrio",Independent Art Historian/Arts Consultant,"MA, 1973"
Non-profit Arts Administration,,Dr. Jay A. Levenson,,,40.761433,-73.977622,Museum of Modern Art,"Director, International Program","XX '75, IFA (GSAS/Fine Arts)"
Non-profit Arts Administration,,"Cecelia S. Levin, PhD",,,42.350422,-71.067389,Arts and Development at South Asian Arts Council,Director,"PhD, 1999"
Conservation,,Ms. Judith Levinson,,,40.781324,-73.973988,Ameircan Museum of Natural History,Director of Conservation: Anthropology,"Certificate in Conservation, 1984"
Education,,"Candace J. Lewis, PhD",,,38.943194,-76.995712,Marist College,Adjunct Professor,"PhD, 1999"
Education,,Mrs. Claudia Lewis,,,,,Marymount Manhattan,Lecturer in Art History,"MA, 1967"
Education,,"Niria Elena Leyva-Gutierrez, PhD",,,40.81775,-74.246174, Long Island University,Assistant Professor of Art History and Museum Studies,"PhD, 2012"
Education,,Mr. Harold A. Liebowitz,,,,,The University of Texas at Austin,"Professor Emeritus, Middle Eastern Studies","MA, 1966"
For-profit Arts Professional,,Ms. Amy Pearl Liebster,,,,,Christie's,Web Producer,"MA, 2014"
Conservation,,Mr. Andrew Lins,,,39.96557,-75.180966,Philadelphia Museum of Art,Conservator of Artifacts,Certificate in Conservation
Public Relations And Marketing,,"Deborah Lipton, PhD",,,42.453449,-76.473503,Cornell University,Major Gift Officer,"PHD '74, IFA (GSAS/Fine Arts)"
Non-Profit Arts Administration,,Ms. Gail P. Lloyd,,,,,Arthur Ross Foundation,Formerly Executive Director,"MA, 1982"
Education,,"Jane F. Lloyd, PhD",,,40.809574,-73.602825,New York Institute of Technology," Adjunct Faculty, Architecture & Design","PhD, 2000"
For-Profit Arts Professional,,"Suzanne Heim Loggie, PhD",,,,,Braswell Galleries Auction,Research Specialist,"PhD, 1989"
Curatorial,,Ms. Barbara J. London,,,,,Museum of Modern Art,"Former Associate Curator, Media and Performance Art","XX '72, IFA (GSAS/Fine Arts)"
Public Relations And Marketing,,Ms. Christina V. Long,,,37.792301,-122.401632,LaunchSquad,Account Executive,"MA, 2004"
Curatorial,,Rebecca Long,,,41.879584,-87.623713,The Art Institute of Chicago,Patrick G. and Shirley W. Ryan Associate Curator in the Department of Medieval to Modern European Painting and Sculpture,"MA, 2004"
Other Occupations,,Ms. Linda S. Lourie,,,39.700815,-74.410881,US Department of Defense,Associate General Counsel,"MA, 1992"
For-Profit Arts Professional,,Dr. Constance Lowenthal,,,,,"Constance Lowenthal, Inc.","Consultant, Provenance and Ownership ","MA, 1969"
Conservation,,Ms. Rosa Lowinger,,,,,The Sculpture Conservation Studio, ,"Certificate in Conservation, 1984"
Education,,"Robert S. Lubar, PhD",,,40.776338,-73.964047,Institute of Fine Arts,Associate Professor of Fine Arts,"PhD, 1988"
Curatorial,,"Martha Lucy, PhD",,,39.960642,-75.172137,The Barnes Foundation,Associate Curator,"PhD, 2004"
Non-profit Arts Administration,,"Leslie L. Luebbers, PhD",,,35.12177,-89.937174,The University of Memphis Art Museum,Director,"PhD, 2001"
Education,,"Emanuele Lugli, PhD",,,53.945533,-1.056167,University of York,"Lecturer, Department of History of Art","PhD, 2009"
Education,,Dr. Alisa L. Luxenberg,,,33.948005,-83.377322,University of Georgia,Professor,"PhD, 191"
Other Occupations,,Ms. Nancy Falkin Lynn,,,,,Alzheimer's Drug Discovery Foundation ,Executive Vice President,"MA, 1998"
Conservation,,Ms. Meghan Thumm Mackey,,,,,"Meghan Thumm Mackey Conservation, LLC",Owner,"Certificate in Conservation, 1997"
Conservation,,Odile Madden,,,41.164215,-80.699269,Smithsonian,Museum Conservation Institute ,"Certificate in Conservation, 2001"
Education,,"Sarah Elizabeth Madole, PhD",,,,,Marymount Manhattan College,Adjunct Professor ,"PhD, 2012"
Museum Director,,Ms. Natalia Majluf,,,-12.060446,-77.03697,Museo de Arte de Lima,,"MA, 1990"
Other Occupations,,Ms. Philippa Feigen Malkin,,,,,The Matthews Group,Real Estate Agent,"MA, 1995"
Other Occupations,,Mr. Christopher S. Malstead,,,,,Wells Fargo, ,"MA, 1996"
Conservation,,Ms. Carol C. Mancusi-Ungaro,,,40.739366,-74.00891,Whitney Museum of American Art,Associate Director for Conservation,"MA, 1970"
Non-profit Arts Administration,,"Earl R. Mandle, PhD",,,25.288784,51.545727,Qatar Museums Authority, ,"MA, 1967"
Education,,Dr. Richard G. Mann,,,,,Art Department,Professor,"XX '82, IFA (GSAS/Fine Arts)"
Curatorial,,Dr. Vivian B. Mann,,,40.78546,-73.957198,The Jewish Museum,Curator of Judaica,"PhD, 1977"
Education,,Ms. Kimberly Marcelino,,,,,PhD at CUNY Grad Center, ,"MA, 2012"
Curatorial,,Dr. Roxana Marcoci,,,40.761433,-73.977622,Museum of Modern Art,"Curator, Department of Photography","PhD, 1998"
For-profit Arts Professional,,Dr. Lois G. Marcus,,,,,Associated Art Consultant Services, ,"MA, 1973"
For-profit Arts Professional,,Ms. Susan D. Marcus,,,,,Meta-Graphics,Designer,"MA, 1971"
Education,,"Areli Marina, PhD",,,40.101952,-88.227161,University of Illinois at Urbana-Champaign,Assistant Professor,"PhD, 2004"
Education,,Ms. Michele D. Marincola,,,40.776338,-73.964047,Institute of Fine Arts,Sherman Fairchild Professor of Conservation,"Certificate in Conservation, 1990"
,,Dr. Ira S. Mark,,,,,Mark Family Realty LLC,Manager,"MA, 1973"
Education,,"Ann Michelle Marlar, PhD",,,33.745903,-84.414345,Morehouse College,Assistant Professor,"PhD, 2009"
Education,,"Dr. Michael J. Marrinan, Jr.",,,37.427475,-122.169719,Stanford University,Professor of Art History,"MA, 1976"
Education,,Ms. Deborah Marx,,,,,The Center School,Latin Teacher,"MA, 1985"
For-profit Arts Professional,,Mrs. Barbara G. Mathes,,,,,Barbara Mathes Gallery,Art Dealer,"XX '72, IFA (GSAS/Fine Arts)"
Curatorial,,Dr. Nancy Mowll Mathews,,,42.711188,-73.2027,Williams College Museum of Art,Senior Curator (retired),"PhD, 1980"
Curatorial,,Dr. Barbara C. Matilsky,,,48.752666,-122.481358,Whatcom Museum,Curator of Art,"MA, 1977"
Public Relations And Marketing,,Dr. Susan Mayer,,,,,Washington State Parks,Director of Marketing,"MA, 1973"
Education,,Dr. Melissa A. Mc Quillan,,,51.413082,-0.210978,Wimbledon College of Art,"Head, Art & Perf. Studies Theory",
Education,,Dr. Anna Marguerite McCann,,,,,Massachussetts Institute of Technology,Visiting Scholar,"MA, 1957"
Education,,Dr. Charles B. McClendon,,,42.365435,-71.258595,Brandeis University,Sidney and Ellen Wien Professor in the History of Art,"MA, 1971"
Conservation,,Mr. Richard S McCoy,,,39.961176,-82.998794,Columbus Landmarks Foundation,preservation consultant,"Certificate in Conservation, 2004"
Education,,"Thomas F. McDonough, PhD",,,42.088828,-75.966972,Binghamton University,Associate Professor,"PhD, 1998"
Education,,"Abigail McEwen, PhD",,,38.986918,-76.942554,University of Maryland,Department of Art History & Archaeology,"PhD, 2010"
Curatorial,,"Rachel Kordonowy McGarry, PhD",,,44.958549,-93.274054,Minneapolis Institute of Arts,Associate Curator,"PhD, 2007"
Education,,"Elizabeth P. McGowan, PhD",,,42.713471,-73.204994,Williams College,Professor of Art,"PhD, 1993"
Education,,"Heidi K. McGowan, PhD",,,40.784847,-73.956764,The Nightingale-Bamford School,"Head, History Department","PhD, 2011"
Education,,Ms. Bannon McHenry,,,,,Fordham College of Liberal Studies,Adjunct Professor,"XX '81, IFA (GSAS/Fine Arts)"
Curatorial,,Ms. Caitlin Sayrs McKenna,,,40.671206,-73.963631,Brooklyn Museum,Research Associate,"MA, 2011"
For-profit Arts Professional,,Ms. Beatrix Medinger,,,,,VIART Corporation,Managing Principal,"MA, 1972"
Museum Director,,Ms. Jill Medvedow,,,42.352848,-71.043093,The Institute of Contemporary Art,Ellen Matilda Poss Director,"MA, 1980"
Conservation,,Ms. Melissa S. Meighan,,,39.96557,-75.180966,Philadelphia Museum of Art,Objects Conservator,"Certificate in Conservation, 1983"
Non-profit Arts Administration,,Ms. Emily Anne Melchin,,,40.702222,-73.804164,Kings Manor Museum,Manager of Programs,"MA, 2012"
For-profit Arts Professional,,"Leatrice Mendelsohn, PhD",,,40.751318,-73.980592,O'Toole Ewald Art Assoc.,Art Appraiser and Adjunct Assoc. Prof.,"PhD, 1978"
Education,,Dr. Jerry D. Meyer,,,41.934299,-88.773718,Northern Illinois University,Professor of Art History,"PhD, 1973"
Curatorial,,Cora Michael,,,40.671206,-73.963631,Brooklyn Museum,Associate Curator for Exhibitions at Brooklyn Museum,"PhD, 2006"
Curatorial,,Ms. Bonni-Dara Michaels,,,40.738022,-73.993791,Yeshiva University Museum,Collections Curator,"MA '81, IFA (GSAS/Fine Arts)"
"Editors, Writers or Publishers",,Mr. Marc H. Miller,,,40.685253,-73.973448,Ephemera Press,Founder and Director,"PhD, 1979"
Education,,Dr. Naomi Miller,,,42.3505,-71.105399,Boston University,Professor Emerita,"PhD, 1966"
Non-profit Arts Administration,,"Peter Benson Miller, PhD",,,41.887929,12.463003,American Academy in Rome,Andrew Heiskell Arts Director,"PhD, 2003"
Other Occupations,,Ms. Mary A. Mills,,,,, ,Contract Interior Designer,"MA, 1958"
"Editors, Writers or Publishers",,Ms. Elizabeth Helman Minchilli,,,,, ,Author,"MA, 1986"
"Editors, Writers or Publishers",,"Kalliopi Minioudaki, PhD",,,,, ,Independent,"PhD, 2009"
For-profit Arts Professional,,Ms. Margaret Minnick,,,,,Minnick Appraisal Service,Art Appraiser,"MA, 1982"
,,Ms. Mary-Elizabeth Mitchell,,,,,,,"MA, 1991"
Curatorial,,Ms. Justine B. Moeckli,,,47.509906,6.797678,Mus_e d'Art et d'Histoire,Assistant Curator,"MA, 2005"
Curatorial,,Mr. Charles S. Moffett,,,,,,"Independent Curator. Formerly Vice Chairman of Impressionist, Modern & Contemporary Art at Sotheby's.","XX '71, IFA (GSAS/Fine Arts)"
Education,,"Andrei B. Molotiu, PhD",,,39.169136,-86.514905,Indiana University,Professor of Art History,"PhD, 1999"
Curatorial,,Mr. Masao Momiyama,,,40.761433,-73.977622,Museum of Modern Art,Curator,"MA, 1999"
For-profit Arts Professional,,Ms. Valentina Giovanna Moncada,,,41.908087,12.480118,Galleria Valentina Moncada, ,"MA, 2009"
Education,,Ms. Wendy P. Monk,,,,,International Pathways Inc.,"Director, Mededpath","MA, 1981"
Education,,Ms. Denyse L. Montegut,,,,,Fashion Institute of Technology,Associate Professor,"Certificate in Conservation, 1992"
Public Relations And Marketing,,Ms. Kelly S. Moody,,,,,New York University,"Executive Director, Development & Campaigns","MA, 1994"
Conservation,,Ms. Kate Winston Moomaw,,,39.737188,-104.989345,Denver Art Museum, Associate Conservator of Modern and Contemporary Art ,"Certificate in Conservation, 2007"
Other Occupations,,Dr. Derek A R Moore,,,,,Skidmore Owings & Merrill LLP,Associate,"PhD, 1988"
,,Ms. Jessica Moore,,,,,United Dallas Museum of Art, ,"MA, 2011"
"Editors, Writers Or Publishers",,Ms. Julia Moore,,,,,"Julia Moore ArtEditing, Inc.",Art & Architecture Editor,"MA, 1967"
,,Dr. Mary B. Moore,,,,,Hunter College,Professor of Art History,"MA, 1966"
Public Relations And Marketing,,Ms. Kellie Morgan,,,40.000455,-83.008967,Wexner Center for the Arts,Community Outreach & Marketing Manager,"MA, 2010"
,,"Anne McGee Morganstern, PhD",,,,,Department of History of Art,Professor Emeritus/Teacher,"PhD, 1970"
,,Mr. James Morganstern,,,,,Ohio State University,Emeritus Professor,"MA, 1964"
,,"Laura A. Morowitz, PhD",,,,,Wagner College,Professor of Art History,"PhD, 1996"
,,Ms. Kathryn McCauley Morton,,,,,Riverside Public Library,Cultural Programs Coordinator,"XX '70, WSC; MA '72, IFA"
Education,,"Marsha Lee Morton, PhD",,,40.69113,-73.963092,Pratt Institute,Professor,"PhD, 1986"
,,"Anita F. Moskowitz, PhD",,,,,Department of Art,Professor and Chairperson,"MA '71, IFA (GSAS/Fine Arts); PHD '78, IFA"
Conservation,,Mr. Norman E. Muller,,,40.343989,-74.651448,Princeton University,Conservator,Certificate in Conservation
Curatorial,,Dr. Priscilla Elkow Muller,,,40.833456,-73.94687,The Hispanic Society of America,Curator Emerita of the Museum,"MA, 1959"
Curatorial,,Mr. Edgar J. Munhall,,,40.771277,-73.967134,The Frick Collection,Curator Emeritus,"MA, 1957"
,,Ms. Samantha Murano,,,,,State of North Carolina, ,"MA '08, IFA (Museum Studies)"
Education,,"Maya B. Muratov, PhD",,,40.722072,-73.650624,Adelphi University,Assistant Professor of Art History,PhD
"Editors, Writers or Publishers",,Ms. Diana L. Murphy,,,,,Harry N. Abrams Publisher, ,"BA '83, WSC; MA '90, IFA (GSAS/History of Art and Archaeology)"
Curatorial,,Ms. Nicole Robyn Myers,,,39.044968,-94.580923,Nelson-Atkins Museum,Associate Curator,"PhD, 2015"
,,"Cynthia Nachmani, PhD",,,,,,Art Lecturer,"XX '64, WSC; MA '67, IFA (GSAS/Fine Arts)"
Curatorial,,Rachel Nackman,,,,,Fifth Floor Foundation,Curator,"MA '11, IFA (GSAS/History of Art and Archaeology)"
For-profit Arts Professional,,Ms. Shania Naderipour,,,,,Meredith Ward Fine Art,Dealer's Assistant,"MA '13, IFA (GSAS/History of Art and Archaeology)"
,,Ms. Jilleen M. Nadolny,,,,,Art Access & Research,Senior Research Associate,"CERT '94, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '94, IFA (GSAS/History of Art and Archaeology)"
Other Occupations,,Ms. Emi Maia Nam,,,41.882186,-87.63448,Barack Ferrazzano,"Assoc, Corporate/Securities",MA
Education,,Dr. Roald Nasgaard,,,30.441878,-84.298489,Florida State University,"Professor and Chair, Department of Art History",PhD
Education,,"Mika M. Natif, PhD",,,42.237889,-71.805246,College of the Holy Cross,Visiting Professor,PhD
,,Professor Gerald Needham,,,,,Department of Visual Arts, ,"MA '63, IFA (GSAS/Fine Arts)"
Education,,"Adele Edelen Nelson, PhD",,,39.982094,-75.154679,Temple University,Assistant Professor,PhD
Non-profit Arts Administration,,"Jonathan Nelson, PhD",,,43.786878,11.309931,Villa I Tatti | The Harvard University Center for Italian Renaissance Studies,Assistant Director for Programs,PhD 1992
Education,,"Robert S. Nelson, PhD",,,41.316324,-72.922343,Yale University,"Robert Lehman Professor, History of Art",PhD 1978
For-profit Arts Professional,,"Lauren S. Nemroff, PhD",,,37.422114,-122.086744,Google,Program Manager of the Google Cultural Institute,PhD
,,Ms. Jerri Reynolds Newman,,,,, , ,Certificate in Conservation
Conservation,,Ms. Won Y. Ng,,,40.671206,-73.963631,Brooklyn Museum,Conservationist,Certificate in Conservation
Education,,Dr. Charlotte Flint Nichols,,,40.742631,-74.246174,Seton Hall University,Associate Professor of Art History,PhD
Non-profit Arts Administration,,"Margot McIlwain Nishimura, PhD",,2014,41.455292,-71.305271,Newport Restoration Foundation,"Deputy director of collections, programming and public engagement.",PhD
Conservation,,Ms. Petria Noble,,,52.359998,4.885219,Rijksmuseum,Head of Paintings Conservation,MA
Education,,Dr. Linda Nochlin,,,40.776338,-73.964047,Institute of Fine Arts,Professsor Emeritus of Modern Art,PhD
Education,,"Elizabeth A. Nogrady, PhD",,,41.68682,-73.89522,Vassar College,"The Andrew W. Mellon Coordinator of Academic Programs, The Frances Lehman Loeb Art Center",PhD
,,Ms. Kristina S. Nordstrom,,,,, ,English Teacher,"BA '66, WSC; XX '72, IFA (GSAS/Fine Arts)"
"Editors, Writers or Publishers",,Dr. Andrea Spaulding Norris,,,,, ,"Art Writer, Museum Consultant","MA '69, IFA (GSAS/Fine Arts)"
Education,,Dr. Ann Wood Norton,,,,,"Providence College, Department of Art/ Art History",Professor of Humanities in Art History,"XX '64, IFA (GSAS/Fine Arts)"
Non-profit Arts Administration,,Ms. Natalie B. O'Dell,,,38.911767,-77.046922,The Phillips Collection,Museum Assistant,MA
Conservation,,Ms. Elma M. O'Donoghue,,,34.063932,-118.359229,Los Angeles County Museum of Art,Associate Painting Conservator,Certificate in Conservation
Conservation,,Ms. Mary Oey,,,38.888684,-77.004719,Library of Congress,Conservator,Certificate in Conservation
Conservation,,Ms. Caitlin R. O'Grady,,,,,Virginia Department of Historic Resources,Scientist II (Conservator),"MA '04, IFA (GSAS/History of Art and Archaeology); CERT '04, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
Curatorial,,Mrs. Jo Anne C. Olian,,,,,Museum of the City of New York,Curator Emeritus,"MA '72, IFA (GSAS/Fine Arts)"
,,Ms. Leah Manon Ollman,,,,, ,Arts Writer,"MA '86, IFA (GSAS/Fine Arts)"
,,Dr. John F. Omelia,,,,,Manhattan College,Professor of Fine Arts,"XX '61, IFA (GSAS/Fine Arts)"
For-Profit Arts Professional,,Dr. Margaret A. Oppenheimer,,,,,Art Solutions, ,"MA '90, IFA (GSAS/History of Art and Archaeology); PHD '96, IFA (GSAS/History of Art and Archaeology)"
Education,,Ms. Kathleen R. Ordway,,,40.987142,-73.682136,Rye Country Day School,English Department Chair,MA
For-profit Arts Professional,,Mrs. Janice Carlson Oresman,,,,, ,Art Advisor & Independent Curator,"MA '72, IFA (GSAS/Fine Arts)"
Education,,"Luisa J. Orto-Symmans, PhD",,,29.719949,-95.342233,University of Houston,Affiliate Professor of Design History,PhD
,,Ms. Kathryn Ann Osborn,,,,,Collector Systems,"Vice President, Client Services","ADCRT '06, IFA (Museum Studies)"
Curatorial,,Dr. Stephen E. Ostrow,,,,,Library of Congress,"Chief, Prints and Photographs Division","MA '59, IFA (GSAS/Fine Arts); PHD '66, GSAS"
Curatorial,,Mr. Ronald Y. Otsuka,,,39.737188,-104.989345,Denver Art Museum,"Curator, Asian Art",MA
For-profit Arts Professional,,Ms. Elizabeth A. Oustinoff,,,,,Adelson Galleries,Director,MA
Education,,"Karen Overbey, PhD",,,42.404808,-71.117962,Tufts University,"Associate Professor, Director of Graduate Studies",PhD
Curatorial,,"Lelia V. Packer , PhD",,,51.508929,-0.128299,"The National Gallery, UK",McCrindle Curatorial Assistant,"PHD '12, IFA (GSAS/History of Art and Archaeology)"
Conservation,,Ms. Lenora Paglia,,,40.644395,-74.077733,Staten Island Museum,Conservator of Paintings,"CERT '88, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
Conservation,,Ms. Susanna Pancaldo,,,51.523586,-0.132992,Petrie Museum of Egyptian Archaeology,Conservation Manager,"MA '96, IFA (GSAS/History of Art and Archaeology); CERT '97, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
Education,,Dr. Elizabeth C. Parker,,,,,Fordham University,Professor Emerita of Art History,MA
Public Relations And Marketing,,Ms. Jennifer Ann Parsons,,,40.78298,-73.958971,Solomon R. Guggenheim Museum,Manager of Corporate Membership,"MA '06, IFA (Museum Studies)"
Curatorial,,Ms. Merribell M. Parsons,,,29.437331,-98.482137,San Antonio Museum of Art,Curator of European Art,MA 1967
Conservation,,Ms. Wendy A. Partridge,,,41.48949,-81.711361,Intermuseum Conservation Association,Associate Paintings Conservator,Certificate in Conservation
Non-profit Arts Administration,,Mr. Andrew J. Pastore,,,40.773642,-73.956379,New York Public Library,Installation Coordinator,MA
Education,,Ms. Ellen J. Pearlstein,,,34.072949,-118.443176,UCLA/Getty Conservation Program,Associate Professor,Certificate in Conservation
Curatorial,,Elsie Holmes Peck,,,42.359323,-83.064472,Detroit Institute of Arts,Curator,MA
Conservation,,Ms. Sylvie Penichon,,,32.747855,-97.36901,Amon Carter Museum of American Art,Conservator of Photographs,"MA '98, IFA (GSAS/History of Art and Archaeology); CERT '98, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
Curatorial,,Elizabeth A. Pergam,,,,,Dian Woodner Collection,Curator,PhD
Non-profit Arts Administration,,Ms. Barbara J. Perkins,,,,,Drew University,Assistant VP-Advancement Communications,MA
Non-profit Arts Administration,,Ms. Ruth Perlin,,,38.911767,-77.046922,Center for the Study of Modern Art at The Phillips Collection,Associate Director,"MA '64, IFA"
Curatorial,,Ms. Meg J. Perlman,,,,,"Perlman-Garr, Inc.",Independent Curator,"XX '73, IFA (GSAS/Fine Arts)"
Curatorial,,Ms. Heather Elise Pesanti,,,30.26925,-97.742737,The Contemporary Austin,Senior Curator,MA 2004
For-profit Arts Professional,,Ms. Alice Marshall Pesch,,,38.069581,-78.700575,amp Designs,Designer and Owner,"MA '08, IFA (GSAS/History of Art and Archaeology)"
Non-profit Arts Administration,,Ms. Kendall L. Peterson,,,39.743656,-104.998167,Denver Office of Cultural Affairs,Public Art Manager,"MA '94, IFA (GSAS/History of Art and Archaeology)"
Education,,Dr. Olenka Z. Pevny,,,37.573961,-77.539614,University of Richmond,Associate Professor,"XX '85, WSC; MA '87, IFA (GSAS/Fine Arts); PHD '95, IFA (GSAS/History of Art and Archaeology)"
Conservation,,Ms. Wynne Hutchinson Phelan,,,,,"Museum of Fine Arts, Houston",Conservation Director,Certificate in Conservation
Public Relations And Marketing,,Ms. Ariel Phillips,,,,,Lower Manhattan Cultural Council,Development Associate,"MA, 2011"
Curatorial,,"Alan Phipps Darr, PhD",,,42.359323,-83.064472,Detroit Institute of Arts,Senior curator of European art and curator of European sculpture and decorative arts.,"PhD, 1980"
"Editors, Writers or Publishers",,Dr. Claudia Roth Pierpont,,,,,The New Yorker,Staff Writer,PhD
Education,,"Anna Piotrowska, PhD",,,25.091209,55.156073,American University in Dubai,Assistant Professor of Art History,"PhD, Certificate in Conservation, 2009"
