Author,Title,Degree,Year,Advisor,Advisor2,Category
"PIOTROWSKA, Anna Karolina",The early career of Carle Vanloo: Training and practice in the capitals of Europe,Ph.D.,2009,"Westermann, Mariët","Bailey, Colin",Oceanic/Australian Art
"MINIOUDAKI, Kalliopi",Women in Pop: Difference and marginality,Ph.D.,2009,"Nochlin, Linda",,Outsider/Folk Art
"LEADER, Karen",L'esthetique du rire: Caricature and art in nineteenth-century Paris,Ph.D.,2009,"Nochlin, Linda",,Performance Studies
"DOQUANG, Mailan S.",Rayonnant chantry chapels in context,Ph.D.,2009,"Trachtenberg, Marvin L.",,Pre-Columbian Art
"BRODSKY, Estrellita Bograd","Latin American artists in postwar Paris: Jesus Rafael Soto and Julio Le Parc, 1950--1970",Ph.D.,2009,"Lubar, Robert S.","Sullivan, Edward J.",African Art (sub-Saharan)
"BARRETT, Kerry",The artful hand: Pieter Soutman's life and oeuvre,Ph.D.,2009,"Westermann, Mariët","Orenstein, Nadine",Art of the Middle East/North Africa
"BARK, Julianna M.",Liotard's ''terroir genevois'',Ph.D.,2009,"Westermann, Mariët",,Art of the United States
"YUNN, Amee","The Bargello: A new history of the first communal palace of Florence, 1255--1346",Ph.D.,2009,"Trachtenberg, Marvin L.",,Chinese Art
"BELASCO, Daniel","Between the Waves: Feminist Positions in American Art, 1949--62",Ph.D.,2008,"Nochlin, Linda",,Contemporary Art
"BUCKLAND, Rosina",Traveling Bunjin to Imperial Household Artists: Taki Katei (1880-1901) and Transformation of Literati in Late Nineteenth-Century Japan,Ph.D.,2008,"Hay, Jonathan","Trede, Melanie",Critical Theory/Gender Studies/Visual Studies
CROIZAT-GLAZER Yassana,"Fashioning Femininity: Beauty, royalty and the Rhetoric of Gender at Fontaine Bleau",Ph.D.,2008,"Eisler, Colin T.",,Decorative Arts/Textiles/Design History
"DALGIC, Orgu",Late Antique Floor Mosaics of Constantinople prior to the Great Palace,Ph.D.,2008,"Mathews, Thomas F.",,Decorative Arts/Textiles/Design History
"DOLPHIN, Erika",Archbishop Francisco Jimenez de Cisneros and the Decoration of the Chapter Room and Mozarabic Chapel in Toledo Cathedra,Ph.D.,2008,"Brown, Jonathan",,Digital Media/Animation
"DRAKAKI, Eleni",Hard Stone Seals from Late Bronze Age Burials of the Greek Mainland: A Contextual and Historical Approach to the Study of their Ownership,Ph.D.,2008,"Kopcke, Günter H.",,Drawings/Prints/Works on Paper
"EARLE, Jason W.",Trade and Culture in the Cycladic Islands during the Late Bronze Age,Ph.D.,2008,"Kopcke, Günter H.",,Early Christian/Byzantine Art
"GLAZER, Joshua",From Dossale to Macchina: The Silver Altar of Saint John the Baptist and its Symbolic function in Florence,Ph.D.,2008,"Trachtenberg, Marvin L.",,Early Medieval/Romanesque/Gothic Art
"GRANATO, Lois","Ludovico Gonzaga, Barbara of Brandenburg, Andrea Mantegna : the audience room in the castle in Mantua, imagery of virtue, rulership, and destiny",Ph.D.,2008,"Brandt, Kathleen Weil-Garris",,Egyptian/Ancient Near Eastern Art
"KEE, Joan","Points, Lines, Encounters, Worlds: Tansaekhwa and the Formation of Contemporary Korean Art",Ph.D.,2008,"Hay, Jonathan",,Eighteenth-Century Art
"KLICH, Lynda","Revolution and Utopia: Estridentisimo and the Visual Arts, 1921-27",Ph.D.,2008,"Lubar, Robert S.","Sullivan, Edward J.",Film/Video
"KREINIK, Juliana",The Canvas and the Camera in Weimar Germany: A New Objectivity in Painting and Photography of the 1920s,Ph.D.,2008,"Lubar, Robert S.",,Art of the Middle East/North Africa
"LOURIE, Ariane","Mass-Produced Aura: Thonet and the Market for Modern Design, 1930-1953",Ph.D.,2008,"Cohen, Jean-Louis",,Art of the United States
"NOGUEIRA, Alison Manges","Portraits of the Visconti and the Sforza: Image and Propaganda in Milan, c. 1300-1500",Ph.D.,2008,"Alexander, Jonathan J.G.",,Chinese Art
"OPPENHEIM, Adela",Aspects of the Pyramid Temple of Senwosret III at Dahshur: The Pharaoh and Deities,Ph.D.,2008,"O'Connor, David",,Contemporary Art
"PLOTEK, Ariel",Allegory in the Age of Realism: Monumental Sculpture in France 1848-1880,Ph.D.,2008,"Nochlin, Linda",,Critical Theory/Gender Studies/Visual Studies
"RAMIREZ-WEAVER, Eric","Carolingian Innovation and Observation in the Paintings and Star Catalogs of Madrid, Biblioteca Nacional, MS. 3307",Ph.D.,2008,"Alexander, Jonathan J.G.",,Decorative Arts/Textiles/Design History
"SAVOY, Daniel",Water Myth in Early Modern Venice,Ph.D.,2008,"Trachtenberg, Marvin L.",,Outsider/Folk Art
"UNRUH, Alison",Aspiring to la vie galante: Reincarnations to Rococo in Second Empire France,Ph.D.,2008,"Nochlin, Linda",,Performance Studies
"YOON, Rangsook","Albrecht Dürer, The Printmaker and Self-Publisher: His Formative Years up to the Publication of the Apocalypse of 1498",Ph.D.,2008,"Eisler, Colin T.",,Pre-Columbian Art
"ADAMS, Ellen E.","After the Rain: Surrealism and the Post-World War II Avant-Garde, 1940-1950",Ph.D.,2007,"Lubar, Robert S.",,Prehistoric Art
"AMSELLEM, Patrick","Remembering the Past, Constructing the Future. The Memorial to the Deportation in Paris and Experimental Commemoration after the Second World War",Ph.D.,2007,"Cohen, Jean-Louis",,Renaissance/Baroque Art
"ANDERSON, Susan",Witty and Lascivious Amusements: The Drawings of Cornelis Dusart and the Dawn of the Eighteenth Century,Ph.D.,2007,"Haverkamp-Begemann, Egbert",,South/Southeast Asian Art
