Author,Title,Degree,Year,Advisor,Advisor2,Category,Category2,,IFA categories (just for reference)
"SALOMON, Nanette","Dreamers, Idlers and other Dozers: Aspects of Sleep in Dutch Art",Ph.D.,1984,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"LIU, Lihong",Places and Place: Wen Zhengming's Late Work and the Significance of Jing (Scene),Ph.D.,2013,"Hay, Jonathan",,East Asian Art,,,History of Photography
"MATTEINI, Michele","Painting in the Age of Evidential Scholarship (Kaozheng): Luo Ping’s Late Years, ca 1770-1799",Ph.D.,2012,"Hay, Jonathan",,East Asian Art,Seventeenth- and Eighteenth-Century Art,,
"WYSOCKI, Kathryn",Images for the King: The Bronze Plaques of the Benin Court in their Architectural Context,Ph.D.,2012,"Hay, Jonathan",,African and Oceanic Art,,,
"KEE, Joan","Points, Lines, Encounters, Worlds: Tansaekhwa and the Formation of Contemporary Korean Art",Ph.D.,2008,"Hay, Jonathan",,Contemporary Art,East Asian Art,,
"KOON, Yeewan",Literati Iconoclasm: Violence and Estrangement in the Art of Su Renshan (1814-c.1850),Ph.D.,2006,"Hay, Jonathan",,Nineteenth- and Twentieth-Century Art,East Asian Art,,
"DAL LAGO, Francesca","Between High and Low: Modernism, Continuity, and Moral Mission in Chinese Printmaking Practices, 1930-1945",Ph.D.,2005,"Hay, Jonathan",,Nineteenth- and Twentieth-Century Art,East Asian Art,,
"NEMROFF, Lauren S.",The Figure Paintings of Tang Yin (1470-1524),Ph.D.,2005,"Hay, Jonathan",,East Asian Art,,,
"WATTLES, Miriam",The Life and Afterlives of Hanabusa Itchô (1652-1724),Ph.D.,2005,"Hay, Jonathan",,East Asian Art,,,
"WUE, Roberta May-Hwa",Making the artist : Ren Bonian (1840-1895) and portraits of the Shanghai art world,Ph.D.,2001,"Hay, Jonathan",,East Asian Art,Nineteenth- and Twentieth-Century Art,,
"LEVIN, Cecelia",The Ramayana of Loro Jonggrang : Indian Antecedents and Javanese Impetus,Ph.D.,1999,"Hay, Jonathan",,Art of the Middle East and South Asia,,,
"LEWIS, Candace",Pottery Towers of Han Dynasty China,Ph.D.,1999,"Hay, Jonathan",,East Asian Art,,,
"RYOR, Kathleen Marie",Bright pearls hanging in the marketplace: Self-expression and commodification in the painting of Xu Wei,Ph.D.,1998,"Hay, Jonathan",,East Asian Art,,,
"THOMPSON, Lydia du Pont",The Yi'nan Tomb: Narrative and the Ritual in Pictorial Art of the Eastern Han (25-220 C.E.),Ph.D.,1998,"Hay, Jonathan",,East Asian Art,,,
"CHOU, Fang-mei","The Life and Art of Wen Boren (1502-1575),",Ph.D.,1997,"Hay, Jonathan",,East Asian Art,,,
"ROWAN, Diana Pyle",Portable Buddhist Shrines of the Tang Period,Ph.D.,1997,"Hay, Jonathan",,East Asian Art,,,
"WANG, Teh-yu","The ''Rivers and Mountains in Autumn Colors'' by Zhao Boju, and Associated Attributions",Ph.D.,1991,"Hay, Jonathan",,East Asian Art,,,
"GIELLA, Barbara",R.M. Schindler's Thirties Style: Its Character (1931-1937) and International Sources (1906-1937),Ph.D.,1987,"Hitchcock, Henry Russell",,Nineteenth- and Twentieth-Century Art,,,
"WARD, James",Le Corbusier's Villa ''Les Terrasses'' and the International Style,Ph.D.,1984,"Hitchcock, Henry Russell",,Architecture,Nineteenth- and Twentieth-Century Art,,
"LANDAU, Sarah Bradford","Edward T. and William A. Potter: American High Victorian Architects, 1855-1901",Ph.D.,1978,"Hitchcock, Henry Russell",,Nineteenth- and Twentieth-Century Art,,,
"ALEXANDER, Robert Lester",The Art and Architecture of Maximilian Godefroy,Ph.D.,1961,"Hitchcock, Henry Russell",,Architecture,Seventeenth- and Eighteenth-Century Art,,
"HURTIG, Judith W.",The Armored Gisant Before 1400,Ph.D.,1978,"Janson, H.W.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"MENDELSOHN-MARTONE, Leatrice",Benedetto Varchi's ''Due Lezzioni'': Paragoni and Cinquecento Art Theory,Ph.D.,1978,"Janson, H.W.",,Renaissance Art,,,
"SCOTT, Nancy J.",Vincenzo Vela (1820-91),Ph.D.,1978,"Janson, H.W.",,Nineteenth- and Twentieth-Century Art,,,
"NORRIS, Andrea S.",The Tomb of Gian Galeazzo Visconti at the Certosa di Pavia,Ph.D.,1977,"Janson, H.W.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"COX, Zimeri Alvin","Ugolino di Preste Ilario, Painter and Mosaicist",Ph.D.,1976,"Janson, H.W.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"DUNKELMAN, Martha Levine",Donatello's Influence on Italian Renaissance Painting,Ph.D.,1976,"Janson, H.W.",,Renaissance Art,,,
"LOWENTHAL, Constance",Conrat Meit,Ph.D.,1976,"Janson, H.W.",,Renaissance Art,,,
"HARGROVE, June Ellen",The Life and Work of Albert Ernest Carrier-Belleuse,Ph.D.,1975,"Janson, H.W.",,Nineteenth- and Twentieth-Century Art,,,
"COLTON, Judith",Monuments to Men of Genius: A Study of Eighteenth-century English and French Sculptural Works,Ph.D.,1974,"Janson, H.W.",,Seventeenth- and Eighteenth-Century Art,,,
"CORN, Wanda M.","Andrew Wyeth: The Man, his Art, and his Audience",Ph.D.,1974,"Janson, H.W.",,Nineteenth- and Twentieth-Century Art,,,
"HUNISAK, John M.",The Sculptor Jules Dalou: Studies in his Style and Imagery,Ph.D.,1973,"Janson, H.W.",,Nineteenth- and Twentieth-Century Art,,,
"JONES, Sharon","French Gothic Influence on North Italian Sculpture in the First Half of the Thirteenth Century: A Study of the Abbey of Vezzolano, S. Giustina in Padua, and the Duomo of Vercelli",Ph.D.,1973,"Janson, H.W.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"BERNSTEIN, Jo Anne Gitlin",The Architectural Sculpture of the Cloisters of the Certosa di Pavia,Ph.D.,1972,"Janson, H.W.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"ALHADEFF, Albert",George Minne: Fin de Siècle Drawings and Sculpture,Ph.D.,1971,"Janson, H.W.",,Nineteenth- and Twentieth-Century Art,,,
"BOE, Roy Asbjörn",Edvard Munch: His Life and Work from 1880-1920,Ph.D.,1970,"Janson, H.W.",,Nineteenth- and Twentieth-Century Art,,,
"MARKHAM, Anne",The Sculpture of Bernardo Rossellino and his Workshop,Ph.D.,1968,"Janson, H.W.",,Renaissance Art,,,
"COCK, Elizabeth Marie",The Influence of Photography on American Landscape Painting 1839-1880,Ph.D.,1967,"Janson, H.W.",,Nineteenth- and Twentieth-Century Art,History of Photography,,
"MIROLLI, Ruth Ann",The Early Work of Rodin and its Background,Ph.D.,1966,"Janson, H.W.",,Nineteenth- and Twentieth-Century Art,,,
"GURDUS, Luba Krugman",The Self-Portrait in French Painting from Neo-Classicism to Realism,Ph.D.,1962,"Janson, H.W.",,Nineteenth- and Twentieth-Century Art,Seventeenth- and Eighteenth-Century Art,,
"SCHAFER, Susan",Rome Year Zero: Continuity in Post-World War II Architecture and Culture in Rome,Ph.D.,2016,"Cohen, Jean-Louis",,,,,
"WILLIAMSON, Daniel Scott","Modern Architecture and Capitalist Patronage in Ahmedabad, India 1947 - 1969",Ph.D.,2016,"Cohen, Jean-Louis",,,,,
"HARKRADER, Nina Elizabeth","Building for the Poor and the Pauper: Architecture, Morality and Medical Models in Victorian England, 1850-1900",Ph.D.,2015,"Cohen, Jean-Louis",,,,,
"KATZ, Ariela Hanna","Maisons du Peuple: Modernism and Working Class Identity in French Architecture, 1919-1940",Ph.D.,2014,"Cohen, Jean-Louis",,,,,
"SIDDIQI, Anooradha Iyer","Just Add Water? Architecture and Humanitarianism, 1991-2011",Ph.D.,2014,"Cohen, Jean-Louis",,,,,
"RABINOWITZ, David Jacob",Public Construction: Christo and Jeanne-Claude's Running Fence,Ph.D.,2015,"Jeffrey, Weiss",,,,,
"DAVIES, Clare Phyllis","Figure and Ground: Producing National Subjects in Egyptian Painting and Photography, 1919-1936",Ph.D.,2014,"Jeffrey, Weiss",,,,,
"WEARING, Shannon Lyn","Power and Style: The Liber Feudorum Maior and the Court of Alfonso II, King of Aragon and Count of Barcelona (r. 1162-1196)",Ph.D.,2015,"Jonathan, Alexander",,,,,
"LAZER, Brett","The New World, the Basque Language, and the Power of Painting: the Art and Writing of Baltasar de Echave Orio",Ph.D.,2016,"Jonathan, Brown",,,,,
"HOLOHAN, Kate Elizabeth","Collecting the New World at the Spanish Habsburg Court, 1519-1700",Ph.D.,2015,"Jonathan, Brown",,,,,
"AUGUSTIN, Birgitta","Painting Authenticity: Intersections in the Lives and Art of Zhang Yu, Huang Gongwang and Ni Zan",Ph.D.,2015,"Hay, Jonathan",,,,,
"QIAN, Zhijian","Modernism Re-oriented in a Chinese Context: Painting of Modernist Artiti in Wartime Chongqing, 1937-1945",Ph.D.,2014,"Hay, Jonathan",,,,,
"ACKLEY, Joseph Salvatore",Offer Him Gold; That is True Love': Ottonian Gold Repousse and the Western Medieval Church Treasury,Ph.D.,2014,"Jonathan, J.G. Alexander",,,,,
"AMBLER, William Nash",The Portrait Workshop at the Court of Philip III of Spain,Ph.D.,2014,"Jonathan, J.G. Alexander",,,,,
"SULLIVAN, Brendan M",The Remembrance of Good Men and the Stories of the Deeds of Valiant Men Justly Inflames and Excites the Hearts of Young Knights: Representing History in the Fifteenth Century,Ph.D.,2014,"Jonathan, J.G. Alexander",,,,,
"OKUN, Henry",The Surrealist Object,Ph.D.,1981,"Jordan, Jim M.",,Nineteenth- and Twentieth-Century Art,,,
"PETRUCK, Peninah",American Art Criticism: 1910-1939,Ph.D.,1979,"Jordan, Jim M.",,Nineteenth- and Twentieth-Century Art,,,
"DRAKAKI, Eleni",Hard Stone Seals from Late Bronze Age Burials of the Greek Mainland: A Contextual and Historical Approach to the Study of their Ownership,Ph.D.,2008,"Kopcke, Günter H.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"EARLE, Jason W.",Trade and Culture in the Cycladic Islands during the Late Bronze Age,Ph.D.,2008,"Kopcke, Günter H.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"MURATOV, Maya",From the Mediterranean to the Bosporos: Terracotta Figurines with Articulated Limbs,Ph.D.,2005,"Kopcke, Günter H.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"HENDRIX, Elizabeth",The Paint Motifs on Early Cycladic Figures,Ph.D.,2000,"Kopcke, Günter H.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"JONES, Bernice",Minoan Women's Clothes: An Investigation of their Construction for the Depictions in Art,Ph.D.,1998,"Kopcke, Günter H.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"LLOYD, Jane Fox","Settlements, Dwellings, and Painted Pottery: A Contribution to the History of Minoan Crete in the Early Late Bronze Age",Ph.D.,1990,"Kopcke, Günter H.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"SAPORITI, Evanthia",The Pictorial Style in Late Bronze Age Mycenaean Pot Painting,Ph.D.,1990,"Kopcke, Günter H.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"ARUZ, Joan",The Aegean and the Orient in the Neolithic and Bronze Ages: The Evidence of Stamp and Cylinder Seals,Ph.D.,1986,"Kopcke, Günter H.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"MILLER, Emily Brower",Zoomorphic Vases in the Bronze Age Aegean,Ph.D.,1984,"Kopcke, Günter H.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"BOHEN, Barbara",The Attic Geometric Pyxis,Ph.D.,1979,"Kopcke, Günter H.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"UHLENBROCK, Jaimee Elizabeth","The Protomai from Gela: History, Chronology, Style",Ph.D.,1978,"Kopcke, Günter H.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"DAVIS, Ellen N.",The Vapheio Cups and Aegean Gold and Silver Ware,Ph.D.,1973,"Kopcke, Günter H.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"HIRSH, Marilyn",Sources for the Figural Sculpture of Mamallapuram,Ph.D.,1986,"Kramrisch, Stella",,Art of the Middle East and South Asia,,,
"ROSEN, Elizabeth S,",The Buddhist Art of Nagarjunakonda,Ph.D.,1983,"Kramrisch, Stella",,Art of the Middle East and South Asia,,,
"RADCLIFFE, Carol E.",Early Chalukya Sculpture,Ph.D.,1981,"Kramrisch, Stella",,Art of the Middle East and South Asia,,,
"McCLENDON, Charles B.",The Medieval Abbey Church at Farfa,Ph.D.,1978,"Krautheimer, Richard",,"Early Christian, Byzantine, and Western Medieval Art",,,
"CURCIC, Slobodan","Granacia: History, Architecture and Relationship to Contemporary Paleologan Churches",Ph.D.,1975,"Krautheimer, Richard",,"Early Christian, Byzantine, and Western Medieval Art",,,
"KINNEY, Dale",S. Maria in Trastevere from its Founding to 1215,Ph.D.,1975,"Krautheimer, Richard",,"Early Christian, Byzantine, and Western Medieval Art",,,
"HERRMANN, John J., Jr.",The Schematic Composite Capital: A Study of Architectural Decoration at Rome in the Later Empire,Ph.D.,1973,"Krautheimer, Richard",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"MALMSTROM, Ronald",S. Maria in Aracoeli at Rome,Ph.D.,1973,"Krautheimer, Richard",,"Early Christian, Byzantine, and Western Medieval Art",,,
"MORGANSTERN, James",The Byzantine Church at Dereagzi,Ph.D.,1973,"Krautheimer, Richard",,Nineteenth- and Twentieth-Century Art,,,
"LIEBERMAN, Ralph E.",The Church of Santa Maria dei Miracoli in Venice,Ph.D.,1972,"Krautheimer, Richard",,Renaissance Art,,,
"JOHNSON, Eugene J.",S. Andrea in Mantua,Ph.D.,1970,"Krautheimer, Richard",,Renaissance Art,,,
"MATHEWS, Thomas Francis",The Early Churches of Constantinople: Architecture and Liturgy,Ph.D.,1970,"Krautheimer, Richard",,"Early Christian, Byzantine, and Western Medieval Art",,,
"HYMAN, Isabelle","Fifteenth-century Florentine Studies: The Palazzo Medici, and a Ledger for the Church of San Lorenzo",Ph.D.,1968,"Krautheimer, Richard",,Architecture,Renaissance Art,,
"LICHT, Marjorie E.",A Festaiuolo Pattern Book in the Sir John Soane Museum,Ph.D.,1968,"Krautheimer, Richard",,Renaissance Art,,,
"SMITH, Molly Teasdale","The ''Ciborium'' in Christian Architecture at Rome, 300-600 A.D",Ph.D.,1968,"Krautheimer, Richard",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"STRIKER, Cecil Leopold",The Myrelaion (Bodrum Camii) in Istanbul,Ph.D.,1968,"Krautheimer, Richard",,"Early Christian, Byzantine, and Western Medieval Art",,,
"TRACHTENBERG, Marvin L.",The Campanile of Florence Cathedral,Ph.D.,1967,"Krautheimer, Richard",,Architecture,Renaissance,,
"ALEXANDER, Margaret Ames",Early Christian Tomb Mosaics of North Africa,Ph.D.,1965,"Krautheimer, Richard",,"Early Christian, Byzantine, and Western Medieval Art",,,
"KRINSKY, Carol Herselle",Cesare Cessariano and the Como Vitruvius Edition of 1521,Ph.D.,1965,"Krautheimer, Richard",,"Early Christian, Byzantine, and Western Medieval Art",,,
"SANDERSON, Warren",The Early Medieval Crypts of St. Martin at Trier,Ph.D.,1965,"Krautheimer, Richard",,"Early Christian, Byzantine, and Western Medieval Art",,,
"WIEBENSON, Dora Louise",Stuart and Revett's Antiquities of Athens: The Influence of Archaeological Publications on the Neoclassical Concept of Hellenism,Ph.D.,1964,"Krautheimer, Richard",,Seventeenth- and Eighteenth-Century Art,"Ancient Aegean, Egyptian, Greek and Roman Art",,
"GAEHDE, Joachim E.",The Painters of the Carolingian Bible Manuscript of San Paolo fuori le Mura in Rome,Ph.D.,1963,"Krautheimer, Richard",,"Early Christian, Byzantine, and Western Medieval Art",,,
"LANDY, Jacob",The Architecture of Minard Lafever in Relation to the New York Scene from 1825 to 1855,Ph.D.,1963,"Krautheimer, Richard",,Nineteenth- and Twentieth-Century Art,,,
"NYBERG, Dorothea F.","Michel de fremin, 'memoires critiques d'architecture.' a clue to the architectural taste of eighteenth century france",Ph.D.,1962,"Krautheimer, Richard",,Seventeenth- and Eighteenth-Century Art,,,
"BERENDSEN, Olga",The italian sixteenth and seventeenth century catafalques,Ph.D.,1961,"Krautheimer, Richard",,Seventeenth- and Eighteenth-Century Art,Renaissance Art,,
"WASSERMAN, Jack",Studies on Ottaviano Mascarino,Ph.D.,1961,"Krautheimer, Richard",,Renaissance Art,,,
"SAALMAN, Howard",The Church of Santa Trinita in Florence,Ph.D.,1960,"Krautheimer, Richard",,Architecture,Renaissance Art,,
"STEINBERG, Leo","San carlo alle quattro fontane, a study in multiple form and architectural symbolism",Ph.D.,1960,"Krautheimer, Richard",,Seventeenth- and Eighteenth-Century Art,Architecture,,
"SMITH, Webster",Studies on Buondelmonti's Villas,Ph.D.,1959,"Krautheimer, Richard",,Renaissance Art,Architecture,,
"KRAMER, Ellen W.","The Domestic Architecture of Detlef Lienau, a Conservative Victorian",Ph.D.,1958,"Krautheimer, Richard",,Nineteenth- and Twentieth-Century Art,Architecture,,
"OLPP, William Henry",The Church Architecture of Roussillon During the Romanesque Period,Ph.D.,1957,"Krautheimer, Richard",,"Early Christian, Byzantine, and Western Medieval Art",Architecture,,
"DE ZURKO, Edward Robert",Functionalist Trends in Writings Pertaining to Architecture with Special Emphasis on the Period ca. 1700-1850,Ph.D.,1954,"Krautheimer, Richard",,Architecture,Seventeenth- and Eighteenth-Century Art,,
"NIEDERER, Frances Johanna",The Roman Diaconiae: a Study of the Use of Ancient Buildings by the Christian Church Prior to 806 A.D,Ph.D.,1951,"Krautheimer, Richard",,"Early Christian, Byzantine, and Western Medieval Art",Architecture,,
"MIELE, Christopher E.",The Gothic Revival and Gothic Architecture: The Restoration of Medieval Churches in Victorian Britain,Ph.D.,1992,"Landau, Sarah Bradford",,Architecture,Nineteenth- and Twentieth-Century Art,"Early Christian, Byzantine, and Western Medieval Art",
"COURTRIGHT, Nicola",Gregory XIII's Tower of the Winds in the Vatican,Ph.D.,1990,"Lavin, Irving",,"Early Christian, Byzantine, and Western Medieval Art",,,
"BLUMENTHAL, Arthur R.",Giulio Parigi's Stage Designs: Florence and the Early Baroque Spectacle,Ph.D.,1984,"Lavin, Irving",,Seventeenth- and Eighteenth-Century Art,,,
"MEZZATESTA, Michael P.",Imperial Themes in the Sculpture of Leone Leoni,Ph.D.,1980,"Lavin, Irving",,Renaissance Art,,,
"WILK, Sarah",Iconological Problems in the Sculpture of Tullio Lombardo,Ph.D.,1977,"Lavin, Irving",,Renaissance Art,,,
"SPIRO, Marie","Critical Corpus of the Mosaic Pavements on the Greek Mainland, Fourth/Sixth Centuries with Architectural Surveys",Ph.D.,1975,"Lavin, Irving",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"HERZ, Alexandra",The Sixtine and Pauline Tombs in Sta. Maria Maggiore: an Iconographical Study,Ph.D.,1974,"Lavin, Irving",,Seventeenth- and Eighteenth-Century Art,,,
"LEHMANN, Phyllis Lourene",A Numismatic Approach to the Sculpture of Southern Italy and Sicily in the Classical Period,Ph.D.,1943,"Lehmann-Hartleben, Karl",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"TRELL, Bluma L.","Architectura Numismatica Part II, Temples in Asia Minor",Ph.D.,1942,"Lehmann-Hartleben, Karl",,"Ancient Aegean, Egyptian, Greek and Roman Art",Architecture,,
"BROWN, Donald Frederic",Architectura Numismatica. Part One: The Temples of Rome,Ph.D.,1941,"Lehmann-Hartleben, Karl",,"Ancient Aegean, Egyptian, Greek and Roman Art",Architecture,,
"NEUERBURG, Norman",The Architecture of Fountains and Nymphaea in Ancient Italy,Ph.D.,1960,"Lehmann-Hartleben, Karl",,"Ancient Aegean, Egyptian, Greek and Roman Art",Architecture,,
"THOMPSON, Mary Lee",Programmatic Painting in Pompeii: The Meaningful Combination of Mythological Pictures in Room Decoration,Ph.D.,1960,"Lehmann-Hartleben, Karl",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"BROKAW, Clotilda Acheson",The Development of the Protoattic Style,Ph.D.,1950,"Lehmann-Hartleben, Karl",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"BOBER, Phyllis Barbara",Studies in Roman Provincial Sculpture,Ph.D.,1946,"Lehmann-Hartleben, Karl",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"WOODS-PUCKETT, Grace Dingledine",The Lure of Albion: American Artists in England during the Transatlantic Gilded Age,Ph.D.,2016,"Nochlin, Linda",,,,,
"ABRAMS, Nora Burnett",Para-realism and the Early Sculpture of Rachel Whiteread,Ph.D.,2015,"Nochlin, Linda",,,,,
"MYERS, Nicole Robyn",Courbet and the Realist Nude,Ph.D.,2015,"Nochlin, Linda",,,,,
"KANG, Cindy","Wallflowers: Tapestry, Painting, and the Nabis in Fin-de-siecle France",Ph.D.,2014,"Nochlin, Linda",,,,,
"PERL, AnnMarie","The Integration of Showmanship into Modern Art: Dali, Picasso, Georges Mathieu and Yves Klein, 1945-1962",Ph.D.,2014,"Nochlin, Linda",,,,,
"BUSER, Thomas",The Pietà in Spain,Ph.D.,1974,"López-Rey, José",,Seventeenth- and Eighteenth-Century Art,,,
"FELDMAN, William Steven",The Life and Work of Jules Bastien-Lepage (1848-1884),Ph.D.,1973,"López-Rey, José",,Nineteenth- and Twentieth-Century Art,,,
"TUFTS, Eleanor M.",A Stylistic Study of the Painting of Luis Melendez,Ph.D.,1971,"López-Rey, José",,Seventeenth- and Eighteenth-Century Art,,,
"JORDAN, William Bryan",Juan van der Hamen y León,Ph.D.,1967,"López-Rey, José",,Seventeenth- and Eighteenth-Century Art,,,
"SIEGFRIED, Joan Crowell",The Formation of the Impressionist Style of Painting: Its Pictorial Themes and Manner of Composition from c. 1860-1870,Ph.D.,1966,"López-Rey, José",,Nineteenth- and Twentieth-Century Art,,,
"MULLER, Priscilla E.",The Drawings of Antonio del Castillo y Saavedra,Ph.D.,1963,"López-Rey, José",,Seventeenth- and Eighteenth-Century Art,,,
"LORD, Eileen Angelin",The Carmona Dynasty,Ph.D.,1954,"López-Rey, José",,"Early Christian, Byzantine, and Western Medieval Art",Art of the Middle East and South Asia,,
"KAJIYA, Kenji",Color-Field Painting in the Cultural Context of America,Ph.D.,2014,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,Art of the Middle East and South Asia
"WIJEGOONARATNA, Michele Anne","Tradition, Innovation and the Construction of Identity in Otto Dix’s Portraits and Self-Portraits 1912-1925",Ph.D.,2013,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"JOHNSON, Danielle","Salvador Dalí and René Magritte, 1928-1938",Ph.D.,2012,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"PAIK, Tricia Y.","A palpable vision: Ellsworth Kelly in New York, 1954-1969",Ph.D.,2009,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"POLEDNIK, Marcelle",History in the making: Sigmar Polke and photography,Ph.D.,2009,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,History of Photography,,
"KREINIK, Juliana",The Canvas and the Camera in Weimar Germany: A New Objectivity in Painting and Photography of the 1920s,Ph.D.,2008,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,History of Photography,,
"ADAMS, Ellen E.","After the Rain: Surrealism and the Post-World War II Avant-Garde, 1940-1950",Ph.D.,2007,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"GALLIGAN, Gregory","The Cube in the Kaleidoscope: The American Reception of French Cubism, 1918-1938",Ph.D.,2007,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"HAMLIN, Amy","Between Form and Subject: Max Beckmann's Critical Reception and Development, ca. 1906-1924",Ph.D.,2007,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"McBREEN, Ellen",The Pinup and the Primitive: Eros and Africa in the Sculpture of Henri Matisse (1906--1909),Ph.D.,2007,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"WEINSTEIN, Andrew",After Adorno: The Essayistic Impulse in Holocaust-Related Art,Ph.D.,2006,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"KURCZYNSKI, Karen","Beyond Expressionism: Asger Jorn and the European Avant-Garde, 1941-1961",Ph.D.,2005,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"SUDHALTER, Adrian","Johannes Baader and the Demise of Wilhelmine Culture: Architecture, Dada, and Social Critique, 1875-1920",Ph.D.,2005,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"JONES, Leslie","A Barbarian in Asia Henri Michaux's Works in Ink, 1927-1955",Ph.D.,2003,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"POWERS, Edward D.","When father doesn't know best: surrealism, metaphor, masculinity",Ph.D.,2003,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"BASILIO, Miriam","Re-inventing Spain : images of the nation in painting and propaganda, 1936-1943",Ph.D.,2002,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"HILLINGS, Valerie Lynn","Experimental artists' groups in Europe, 1951-1968: Abstraction, Interaction and Internationalism",Ph.D.,2002,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"GOLDBERG, Deborah A.","Isamu Noguchi: The Artist as Engineer and Visionary Designer, 1918-1939",Ph.D.,2000,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"KALB, Peter Roland","The Appearance of Modernity : Images of New York City, 1919-1932",Ph.D.,2000,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"LANSING, Gerrit","A Neurotic Mirror': the Painting of O. Louis Gugliemi, 1932?1943",Ph.D.,1999,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"ROSENBERG, Susan","Brancusi and postwar Paris: Portraiture, primitivism, and patronage in the 1920s",Ph.D.,1998,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"UMLAND, Anne",Joan Miró and Collage in the 1920s: The Dialectic of Painting and Anti-Painting,Ph.D.,1997,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"MOROWITZ, Laura",Consuming the Past: The Nabis and French Medieval Art,Ph.D.,1996,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"ORTO, Luisa J.",Design as Art: il Design and Italian National Identity,Ph.D.,1995,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"RABINOW, Rebecca A.","The Legacy of la Rue Férou: Livres d'Artiste Created for Tériade by Rouault, Bonnard, Matisse, Léger, Le Corbusier, Chagall, Giacometti, and Miró",Ph.D.,1995,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"DERVAUX, Isabelle","Avant-Garde in New York, 1935-1939: The Ten",Ph.D.,1992,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"WINTHER, Bert",Isamu Noguchi: Conflicts of Japanese Culture in the Early Postwar Years,Ph.D.,1992,"Lubar, Robert S.",,Nineteenth- and Twentieth-Century Art,,,
"FOWLKES, Isabel","The Cults of Syrian-Phoenician Gods in Rome: Archaeology, Topography, and Connections to the Roman East",Ph.D.,2012,"Marconi, Clemente",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"UDELL, Jennifer",Times of Day and Times of Year on Athenian Vases,Ph.D.,2012,"Marconi, Clemente",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"DONATI, Jamieson",Towards an Agora: The Spatial and Architectural Development of Greek Commercial and Civic Space in the Peloponnese,Ph.D.,2010,"Marconi, Clemente",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"DAIMAN, Marina","Rubens Remaking Rubens: Self-Repetition, Transformation, and Invention in Early Modern Art",Ph.D.,2016,"Westermann, Mariët",,,,,
