Author,Title,Degree,Year,Advisor,Advisor2,Category,Category2,,IFA categories (just for reference)
"KORNFELD, Abby",Meanings in the Margins: Between Text and Image in the Barcelona Haggadah,Ph.D.,2013,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"MONTI, Elizabeth",Art for an Antipope at the Court of Clement VII (1378-1394),Ph.D.,2013,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"NOGUEIRA, Alison Manges","Portraits of the Visconti and the Sforza: Image and Propaganda in Milan, c. 1300-1500",Ph.D.,2008,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",Renaissance Art,,
"RAMIREZ-WEAVER, Eric","Carolingian Innovation and Observation in the Paintings and Star Catalogs of Madrid, Biblioteca Nacional, MS. 3307",Ph.D.,2008,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"CARTWRIGHT, Sarah",The Collectio Antiquitatum of Giovanni Marcanova (Modena Biblioteca Estense Universitaria Ms. alfa. L.5.15 = Lat. 992) and the Quattrocento Antiquarian Sylloge,Ph.D.,2007,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",Renaissance Art,,
"HUMPHREY, Lyle","The Illumination of Confraternity and Guild Statues in Venice, ca. 1260-1500: Mariegola Production, Iconography, and Use",Ph.D.,2007,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"RUSSAKOFF, Anna","Imaging the Miraculous: Les Miracles de Notre Dame, Paris, BnF, n.acq.fr 24541",Ph.D.,2006,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"FLORA, Holly","Imaging, Gender, Poverty, and Spirituality in the Trecento: The Meditationes Vitae Christi",Ph.D.,2005,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"LEO, Domenic",Authorial Presence in the Illuminated Machaut Manuscripts,Ph.D.,2005,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"CHOI, Kyung-hee","Illuminating Liturgy and Legend: The Missal of Saint-Denis (London, Victoria and Albert Museum Ms. L 1346-1891) and the Royal Abbey in the Fourtheenth Century",Ph.D.,2004,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"OVERBEY, Karen",The Space of the Holy Body: Relics and Reliquaries in Medieval Ireland,Ph.D.,2003,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"EASTON, Martha",The making of the Huntington Library Legenda Aurea and the meaning of martyrdom,Ph.D.,2001,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"L'ENGLE, Susan","The Illumination of Legal Manuscripts in Bologna, 1250-1350: Production and Iconography",Ph.D.,2000,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"DAVID, Benjamin",Relations of Painting and Writing in Fifteenth-Century Siena,Ph.D.,1999,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",Renaissance Art,,
"KOSLIN, Desiree",The Dress of Monastic and Religious Women As Seen in Art From the Early Middle Ages to the Reformation,Ph.D.,1999,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"McILWAIN NISHIMURA, Margot",The Gorleston Psalter : A Study of the Marginal in the VisualCulture of Fourteenth-Century England,Ph.D.,1999,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"GUEST, Gerald","Queens, Kings and Clergy Figures of Authority in the 13c Moralized Bible",Ph.D.,1998,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"INGLIS, Erik",Jean Fouquet as a Painter of National History,Ph.D.,1998,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"VIDAS, Marina","Representation and marriage: art, society and gender relations in Florence from the late fourteenth through the fifteenth century",Ph.D.,1997,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
