Name,Date,La,Lo,Place,Notes
Bill Viola,1992,51.21563,6.77604,Stadtische Kunsthalle Dä__sseldorf,"""Bill Viola. Unseen Images"""
Bill Viola,1994,48.85693,2.3412,American Center inaugural opening,"""Bill Viola: Stations"""
Bill Viola,1994,-22.976734,-43.195084,Centro Cultural/Banco do Brazil,"""Territorio Do Invisiel (Site of the Unseen)"""
Bill Viola,1995,33.987545,-118.472154,46th Venice Biennale,"""Buried Secret"""
Bill Viola,1996,32.036991,-81.081902,Savannah College of Art and Design,"""Bill Viola: New Work"""
Bill Viola,1996,39.64599,-121.800894,Durham Cathedral,"""Bill Viola: The Messenger"""
Bill Viola,1996,48.85693,2.3412,Chapelle Saint-Louise de la Salpetriäè_re,"""Bill Viola: Trilogy: Fire, Water, Breath"""
Bill Viola,1997,40.782979,-73.958867,Guggenheim Museum (SoHo),"""Bill Viola: Fire, Water, Breath"""
Bill Viola,1998,40.773343,-73.963598,Whitney Museum of American Art,"""Bill Viola: A 25-Year Survey"""
Bill Viola,1998,34.05349,-118.245319,Los Angeles County Museum of Art,"""Bill Viola: A 25-Year Survey organized by the Whitney Museum of American Art"""
Bill Viola,1999,52.373095,4.893305,Stedelijk Museum,"""Bill Viola: A 25-Year Survey organized by the Whitney Museum of American Art"""
Bill Viola,1999,50.11208,8.683415,Museum fur Moderne Kunst,"""Bill Viola: A 25-Year Survey organized by the Whitney Museum of American Art"""
Bill Viola,1999,37.777125,-122.419644,San Francisco Museum of Modern Art,"""Bill Viola: A 25-Year Survey organized by the Whitney Museum of American Art"""
Bill Viola,2000,41.88415,-87.632409,"Art Institute of Chicago, Illinois","""Bill Viola: A 25-Year Survey organized by the Whitney Museum of American Art"""
Bill Viola,2000,50.11208,8.683415,Helaba Main Tower,"""The World of Appearances: Permanent installation"""
Bill Viola,2000,40.750281,-74.004117,James Cohan Gallery,"""Bill Viola: New Work"""
Bill Viola,2001,51.506325,-0.127144,Anthony d'Offay Gallery,"""Bill Viola: Five Angels for the Millennium"""
Bill Viola,2002,52.516074,13.376987,Deutsche Guggenheim,"""Bill Viola: Going Forth By Day"""
Bill Viola,2003,34.088475,-118.476407,Getty Museum,"""Bill Viola: The Passions"""
Bill Viola,2003,37.557121,126.977379,Kukje Gallery,"""Bill Viola"""
Bill Viola,2003,51.506325,-0.127144,Anthony d'Offay Gallery,"""Bill Viola: Five Angels for the Millennium"""
Bill Viola,2003,51.506325,-0.127144,National Gallery,"""Bill Viola: The Passions"""
Bill Viola,2004,43.26865,-2.946119,"Guggenheim Bilbao, Spain","""Bill Viola: Temporality and Transcendence"""
Bill Viola,2005,40.4203,-3.705774,"Fundacion ""la Caixa""","""Bill Viola: The Passions"""
Bill Viola,2005,56.152975,10.20488,ARoS Aarhus Kunstmuseum,"""Bill Viola Visions"""
Bill Viola,2005,40.750281,-74.004117,James Cohan Gallery,"""Bill Viola"""
Bill Viola,2005,48.85693,2.3412,Opera National de Paris,"""Tristan und Isolde, fully staged opera premiere"""
Bill Viola,2006,53.0751,8.804708,Kunsthalle Bremen,"""Bill Viola: Video 2006 Recipient of the NORD/LB Art Prize"""
Bill Viola,2006,51.506325,-0.127144,St. Olave's College,"""LOVE/DEATH The Tristan Project"""
Bill Viola,2006,35.670479,139.740921,Mori Art Museum,"""Bill Viola: Hatsu-Yume (First Dream)"""
Bill Viola,2007,37.170398,-3.605426,Museo de Bellas Artes de Granada,"""Bill Viola: Las Horas Invisibles"""
Bill Viola,2007,52.23537,21.009485,Zacheta National Gallery of Art,"""Bill Viola"""
Bill Viola,2007,33.987545,-118.472154,Church of San Gallo,"""Ocean Without a Shore"""
Bill Viola,2008,-33.869629,151.206955,Art Gallery of New South Wales,"""Bill Viola: The Tristan Project"""
Bill Viola,2008,37.557121,126.977379,Kukje Gallery,"""Bill Viola: Transfigurations"""
Bill Viola,2008,-37.823238,144.969284,National Gallery of Victoria,"""Ocean Without a Shore"""
Bill Viola,2008,41.90311,12.49576,Palazzo delle Esposizioni,"""Bill Viola: Visioni Interiori"""
Peter Campus,1971,40.776307,-73.964169,Finch College Museum of Art,"""Ten Video Performances"""
Peter Campus,1971,38.8963,-77.039457,Corcoran Gallery of Art,
Peter Campus,1971,40.776307,-73.964169,Finch College Museum of Art,"""Projected Art II"""
Peter Campus,1972,40.774656,-73.954067,Bykert Gallery,
Peter Campus,1972,44.979035,-93.264929,Minneapolis College of Art and Design,First Annual National Video Festival
Peter Campus,1973,40.773343,-73.963598,Whitney Museum of American Art,Biennial Exhibition
Peter Campus,1973,43.044231,-76.147244,Everson Museum of Art,Circuit: A Video Invitational
Peter Campus,1973,42.577501,-83.239638,Cranbrook Academy of Art,
Peter Campus,1973,47.65564,-122.312079,"Henry Art Gallery, University of Washington",
