Name,Date,La,Lo,Place,Notes
Mary Lucier,1989,35.810113,-78.702373,North Carolina Museum of Art,"""Making Their Mark: Women Artists Move into the Mainstream, 1970 - 85"""
Mary Lucier,1988,39.964359,-82.987958,Columbus Museum of Art,
Mary Lucier,1988,42.180443,-71.189357,BMW Gallery,"""In Bloom"""
Mary Lucier,1988,41.081487,-85.135701,Fort Wayne Musuem of Art,“Earthly Delights: Garden Imagery in Contemporary Art”
Mary Lucier,1988,40.443504,-79.949588,Carnegie Museum of Art,"""American Landscape Video"""
Mary Lucier,1988,40.773465,-73.963874,Whitney Museum at Equitable Center,"""Video Art: Expanded Forms"""
Mary Lucier,1988,36.038996,136.234078,"Fukui Fine Arts Museum, Japan","""Fukui International Video Biennale"""
Mary Lucier,1987,32.787563,-96.801024,Dallas Museum of Art,
Mary Lucier,1987,43.074677,-89.388957,Madison Art Center,
Mary Lucier,1987,41.038667,-73.697511,Neuberger Museum,
Mary Lucier,1987,40.773465,-73.963874,Whitney Museum of American Art,
Mary Lucier,1986,37.765234,-122.403896,Capp Street Project,
Mary Lucier,1987,52.358011,4.879756,Stedelijk Museum,"""The Arts for Television"""
Mary Lucier,1987,34.053322,-118.250675,"Museum of Contemporary Art, Los Angeles","""The Arts for Television"""
Mary Lucier,1987,45.51559,-73.576007,Festival du Nouveau Cinema,
Mary Lucier,1987,34.107561,-118.310099,"American Film Institute, Los Angeles","""National Video Festival"" "
Mary Lucier,1987,44.968436,-93.288541,Walker Art Center,"Viewpoints: Paul Kos, Mary Lucier"
Mary Lucier,1987,40.798577,-77.860496,Robeson Center Gallery,"""Contemporary Syntax: Light and Density"""
Mary Lucier,1987,41.371145,2.149387,Fundacio Caixa de Barcelona,Biennal de Video 
Mary Lucier,1987,37.556616,-77.475044,Virginia Museum of Fine Arts,"""Doug Hall, Mary Lucier Video Installations"""
Mary Lucier,1987,33.763346,-118.164897,Long Beach Museum of Art,"""Curator's Choice"""
Mary Lucier,1987,52.070498,4.3007,"Kijkhuis, The Hague","""World-Wide Video Festival"""
Mary Lucier,1987,40.773465,-73.963874,Whitney Museum of American Art,"""Contemporary Diptychs: Divided Visions"""
Mary Lucier,1986,40.41842,-3.696639,Circulo de Bellas Artes,"""II Festival Nacional Video"""
Mary Lucier,1986,41.262659,-73.673254,Katonah Gallery,"""A Video Primer: Electronic Art from the 80's"""
Mary Lucier,1986,40.80933,-73.963661,Barnard College,Works by Women
Mary Lucier,1986,40.702664,-73.989174,A.I.R. Gallery,Women Photographers Now
Mary Lucier,1986,-33.869418,151.220726,"Artspace, Sydney","""New York City Video"""
Mary Lucier,1986,26.700553,-80.053405,Norton Gallery of Art,
Mary Lucier,1986,37.868797,-122.255824,"University Art Museum, Berkeley",
Mary Lucier,1986,41.763718,-72.673579,Wadsworth Atheneum,
Mary Lucier,1986,42.366248,-71.258846,Rose Art Museum,
Mary Lucier,1986,43.653878,-70.262315,Portland Museum of Art,
Mary Lucier,1986,42.447358,-73.253907,Berkshire Museum,
Mary Lucier,1985,33.789228,-84.384968,High Museum of Art,"""Atlanta Video Festival"""
Mary Lucier,1985,40.718837,-74.002667,"Independent Curators, Inc.","""Video Transformations"""
Mary Lucier,1985,40.707766,-74.008769,Chase Manhattan Plaza,
Mary Lucier,1984,52.373095,4.893305,Stedelijk Museum,"""The Luminous Image"""
Mary Lucier,1984,45.50867,-73.553992,Galerie Joliet,"""Video 84"""
Mary Lucier,1984,29.951066,-90.071532,The Louisiana World Exposition,"""So There, Orwell"""
Mary Lucier,1984,40.444032,-79.949108,Carnegie Museum of Art,
Mary Lucier,1983,40.773465,-73.963874,Whitney Museum of American Art,"""Biennial Exhibition"""
Mary Lucier,1983,51.182994,-115.580341,Walter Phillips Gallery,"""The Second Link: Viewpoints on Video in the Eighties"""
Mary Lucier,1983,40.761456,-73.977743,The Museum of Modern Art,"""The Second Link: Viewpoints on Video in the Eighties"""
Mary Lucier,1983,33.763503,-118.165057,Long Beach Museum of Art,"""The Second Link: Viewpoints on Video in the Eighties"""
Mary Lucier,1983,51.505525,-0.137758,ICA London,"""The Second Link: Viewpoints on Video in the Eighties"""
Mary Lucier,1983,33.584044,130.379739,Fukuoka Museum of Art,"""The Second Link: Viewpoints on Video in the Eighties"""
Mary Lucier,1983,35.621096,35.621096,Hara Museum of Contemporary Art,"""The Second Link: Viewpoints on Video in the Eighties"""
Mary Lucier,1983,34.107561,-118.310099,The American Film Institute,"""National Video Festival"""
Mary Lucier,1983,40.773465,-73.963874,Whitney Museum of American Art,
Mary Lucier,1981,40.953797,-73.896262,The Hudson River Museum,
Mary Lucier,1980,32.046757,-81.108067,Women's Interart Center,"""The Moving Image: Film and Video Festival"""
Mary Lucier,1980,40.748649,-73.984007,City University Graduate Center,
Mary Lucier,1979,43.000971,-78.78306,"Media Study, Buffalo",
Mary Lucier,1979,40.745443,-74.006833,The Kitchen,
Mary Lucier,1978,40.714353,-74.005973,Global Village,"""Women/Artists/Filmmakers"""
Mary Lucier,1978,40.953797,-73.896262,The Hudson River Museum,"""American Art from the l0e Biennale de Paris’"""
Mary Lucier,1978,47.60621,-122.332071,And/Or,
Mary Lucier,1977,48.864666,2.297211,Musee d'Art Moderne,"""l0e Biennale de Paris"""
Mary Lucier,1977,48.863181,2.294508,The American Cultural Center,Art Video USA
Mary Lucier,1977,40.724643,-73.990058,Anthology Film Archives,
Mary Lucier,1976,43.044718,-76.146717,"Everson Museum of Art, Syracuse","""New Work in Abstract Video Imagery"""
Mary Lucier,1976,43.044718,-76.146717,Everson Museum of Art,
Mary Lucier,1976,40.745443,-74.006833,The Kitchen,
Mary Lucier,1975,41.572623,-72.640814,St. Clements Estate,
Mary Lucier,1974,42.366248,-71.258846,Rose Art Museum,"""A Generation of Brandeis Artists"""
Mary Lucier,1973,40.745443,-74.006833,"The Kitchen, Mercer Arts Center","""Red White Yellow and Black"""
Mary Lucier,1973,40.752471,-73.977295,Grand Central Station,"""Tenth Annual Avant Garde Festival"""
Mary Lucier,1972,35.243594,-80.798945,Spencer Memorial Church,"""Three New Works"""
Mary Lucier,1971,40.752471,-73.977295,Grand Central Station,"""Tenth Annual Avant Garde Festival"""
Mary Lucier,1970,40.783051,-73.959006,Guggenheim Museum,"""Sonic Arts Union"""
Mary Lucier,1970,30.716156,-95.546717,Walker Art Center,"""Sonic Arts Union"""
